poi_id	floor_id	mapping_label	mapping_display_name	mapping_aliases	query_keyword	amap_search_status	amap_query_info	amap_query_count	amap_candidate_name	amap_candidate_poi_id	amap_candidate_parent_poi_id	amap_candidate_floor	amap_candidate_address	amap_candidate_location	amap_candidate_type	match_score	match_notes	manual_review_required	人工审核结果
poi_b1_aichaosuannai_121	B1	aichaosuannai	爱炒酸奶	aichaosuannai；爱炒酸奶；艾炒酸奶；爱妙酸奶；艾妙酸奶；amsn	爱炒酸奶 五道口购物中心	candidate_at_venue_needs_review	OK	85	茉酸奶(五道口购物中心店)	B0JDZCCMG2	B000A80D2Q	B1	成府路28号五道口购物中心B1层	"116.339194,39.992035"	餐饮服务;冷饮店;冷饮店	150	parent=venue;address_has_venue;address_has_venue_address;floor_match	TRUE	错误
poi_b1_aihuishou_903	B1	aihuishou	爱回收	aihuishou；爱回收；ahs	爱回收 五道口购物中心	matched_parent_or_address_and_name	OK	7	爱回收(五道口购物中心店)·手机数码奢侈品黄金回收	B0H6L7DWTO	B000A80D2Q		成府路28号五道口购物中心B1层	"116.339552,39.992122"	生活服务;生活服务场所;生活服务场所	215	parent=venue;address_has_venue;address_has_venue_address;name_or_alias_match;distance<=100m	FALSE	
poi_b1_bailuyuan_53	B1	bailuyuan	白鹿原	bailuyuan；白鹿原；bly	白鹿原 五道口购物中心	matched_parent_or_address_and_name	OK	1	白鹿原西安肉夹馍·油泼面(五道口购物中心店)	B0L6K1NMAF	B000A80D2Q		成府路28号五道口购物中心B1层	"116.339262,39.991909"	餐饮服务;中餐厅;中餐厅	190	parent=venue;address_has_venue;address_has_venue_address;name_or_alias_match	FALSE	
poi_b1_baozhu_102	B1	baozhu	包煮	baozhu；包煮；宝竹；bz	baozhu 五道口购物中心	candidate_at_venue_needs_review	OK	85	VERO MODA(五道口购物中心店)	B0HKLUW5NJ	B000A80D2Q	2F	成府路28号五道口购物中心2F层	"116.339592,39.991905"	购物服务;服装鞋帽皮具店;品牌服装店	140	parent=venue;address_has_venue;address_has_venue_address	TRUE	错误
poi_b1_bulilin_904	B1	bulilin	布璃琳	bulilin；布璃琳；不离林；bll	布璃琳 五道口购物中心	candidate_at_venue_needs_review	OK	86	布景(五道口购物中心店)	B000AA9XDH	B000A80D2Q	4F	成府路28号五道口购物中心4F层L4-02	"116.339535,39.992129"	购物服务;服装鞋帽皮具店;品牌服装店	140	parent=venue;address_has_venue;address_has_venue_address	TRUE	错误
poi_b1_chabaidao_117	B1	chabaidao	茶百道	chabaidao；茶百道；cbd	茶百道 五道口购物中心	matched_parent_or_address_and_name	OK	3	茶百道(北京林业大学北路店)	B0JD3C8YXQ	B000A80D2Q	B1	成府路28号五道口购物中心B1层	"116.339193,39.992057"	餐饮服务;冷饮店;冷饮店	200	parent=venue;address_has_venue;address_has_venue_address;name_or_alias_match;floor_match	FALSE	
poi_b1_chitianshousi_39	B1	chitianshousi	池田寿司	chitianshousi；池田寿司；吃天寿司；ctss	池田寿司 五道口购物中心	matched_parent_or_address_and_name	OK	1	池田寿司·新鲜现做(五道口中心店)	B0L0RU5K6M	B000A80D2Q	B1	成府路28号负一层B1-17	"116.339239,39.991851"	餐饮服务;外国餐厅;日本料理	160	parent=venue;address_has_venue_address;name_or_alias_match;floor_match	FALSE	
poi_b1_chuanshiduo_25	B1	chuanshiduo	串士多	chuanshiduo；串士多；csd	串士多 五道口购物中心	candidate_at_venue_needs_review	OK	86	咏巷炸鸡(五道口购物中心店)	B0KUAUDBZ0	B000A80D2Q	B1	成府路28号五道口购物中心B楼	"116.339078,39.991907"	餐饮服务;餐饮相关场所;餐饮相关	150	parent=venue;address_has_venue;address_has_venue_address;floor_match	TRUE	错误
poi_b1_coco_62	B1	coco	CoCo都可	coco；CoCo；CoCo都可；都可；都可奶茶	coco 五道口购物中心	matched_parent_or_address_and_name	OK	15	CoCo都可(五道口购物中心店)	B0FFMGKW5R	B000A80D2Q	B1	成府路28号-B1层	"116.339204,39.992002"	餐饮服务;餐饮相关场所;餐饮相关	185	parent=venue;address_has_venue_address;name_or_alias_match;distance<=100m;floor_match	FALSE	
poi_b1_dajingchazhuang_38	B1	dajingchazhuang	大金茶庄	dajingchazhuang；大金茶庄；大经茶庄；djcz	大经茶庄 五道口购物中心	matched_parent_or_address_and_name	OK	44	大经茶庄(五道口购物中心店)	B0L2TD3LL0	B000A80D2Q		成府路28号五道口购物中心B1层	"116.339312,39.991955"	购物服务;专卖店;专营店	205	parent=venue;address_has_venue;address_has_venue_address;fuzzy_name_match;distance<=100m	FALSE	
