poi_id,floor_id,mapping_label,mapping_display_name,previous_candidate_name,previous_candidate_poi_id,retry_query_keyword,retry_status,retry_candidate_name,retry_candidate_poi_id,retry_candidate_parent_poi_id,retry_candidate_floor,retry_candidate_address,retry_candidate_location,retry_candidate_type,retry_match_score,retry_match_notes,recommended_action
poi_b1_aichaosuannai_121,B1,aichaosuannai,爱炒酸奶,茉酸奶(五道口购物中心店),B0JDZCCMG2,aichaosuannai 北京,name_matched_not_venue,艾炒酸奶(北京合生汇店),B0H1VDPXKK,B0FFHSRCQZ,F4,西大望路甲22号1号楼商业部分4层28D号,"116.478670,39.893933",餐饮服务;冷饮店;冷饮店,100,name_or_alias_match,manual_review_or_indoor_only
poi_b1_baozhu_102,B1,baozhu,包煮,VERO MODA(五道口购物中心店),B0HKLUW5NJ,包煮 成府路28号,no_reliable_name_match,柒十二匠(五道口购物中心店),B0JRXR4KPR,B000A80D2Q,B1,成府路28号五道口购物中心B1层,"116.339073,39.992019",餐饮服务;中餐厅;中餐厅,20,parent=venue;address_has_venue;address_has_venue_address;floor_match;no_name_match_penalty,manual_review_or_indoor_only
poi_b1_bulilin_904,B1,bulilin,布璃琳,布景(五道口购物中心店),B000AA9XDH,不离林 成府路28号,no_reliable_name_match,茶百道(北京林业大学北路店),B0JD3C8YXQ,B000A80D2Q,B1,成府路28号五道口购物中心B1层,"116.339193,39.992057",餐饮服务;冷饮店;冷饮店,40,parent=venue;address_has_venue;address_has_venue_address;floor_match;distance<=500m;no_name_match_penalty,manual_review_or_indoor_only
poi_b1_chuanshiduo_25,B1,chuanshiduo,串士多,咏巷炸鸡(五道口购物中心店),B0KUAUDBZ0,串士多 北京,name_matched_not_venue,串士多·回转小火锅(北京悦荟店),B0KULN7B7K,B000A8XCLR,L5,南环路10号悦荟L5层,"116.239102,40.212072",餐饮服务;中餐厅;火锅店,100,name_or_alias_match,manual_review_or_indoor_only
poi_b1_dec_27,B1,dec,dec,五道口购物中心地下停车场,B0G0T9FPP7,dec 北京,name_matched_not_venue,D.DEC,B0HACRWPPL,B000AA1YB3,,朝阳北路106号青年汇102号楼,"116.515025,39.922275",餐饮服务;餐饮相关场所;餐饮相关,100,name_or_alias_match,manual_review_or_indoor_only
poi_b1_fanwenhua_30,B1,fanwenhua,樊文花,Manner Coffee(五道口购物中心店),B0H3PR3KMT,樊文花 成府路28号,name_matched_not_venue,樊文花(北京华联万柳店),B0I14D9G28,B0FFFAI76D,B1,巴沟路2号(近地铁10号线巴沟站)BHG Mall北京华联万柳购物中心B1层B1LL04,"116.295077,39.972937",购物服务;个人用品/化妆品店;其它个人用品店,110,name_or_alias_match;floor_match,manual_review_or_indoor_only
poi_b1_haircamp_35,B1,haircamp,理发店,诗碧曼白发防脱发养发馆(五道口购物中心店),B0JRTKVLCQ,理发店 五道口,name_and_venue_matched,HAIR CAMPスタイルキャンプ(五道口购物中心店),B0J1PHY8P9,B000A80D2Q,,北京城区成府路28号-1层101,"116.339292,39.992444",生活服务;美容美发店;美容美发店,210,name_or_alias_match;parent=venue;address_has_venue_address;distance<=500m,can_use_after_manual_confirm
poi_b1_jiajiancheng_914,B1,jiajiancheng,夹拣盛,完美世界影城(五道口购物中心店),B0J3SU0TTZ,jiajiancheng 五道口购物中心,no_reliable_name_match,茉酸奶(五道口购物中心店),B0JDZCCMG2,B000A80D2Q,B1,成府路28号五道口购物中心B1层,"116.339194,39.992035",餐饮服务;冷饮店;冷饮店,20,parent=venue;address_has_venue;address_has_venue_address;floor_match;no_name_match_penalty,manual_review_or_indoor_only
poi_b1_jiayibing_915,B1,jiayibing,加一冰,优衣库(五道口购物中心店),B0LA7UVBER,加一冰 成府路28号,no_reliable_name_match,茶百道(北京林业大学北路店),B0JD3C8YXQ,B000A80D2Q,B1,成府路28号五道口购物中心B1层,"116.339193,39.992057",餐饮服务;冷饮店;冷饮店,40,parent=venue;address_has_venue;address_has_venue_address;floor_match;distance<=500m;no_name_match_penalty,manual_review_or_indoor_only
poi_b1_qiduyinshi_902,B1,qiduyinshi,七度银饰,Manner Coffee(五道口购物中心店),B0H3PR3KMT,七度银饰 北京,name_matched_not_venue,七度银饰(北京朝阳合生汇店),B0L29XSYZV,B0FFHSRCQZ,B1,西大望路甲22号北京朝阳合生汇B1层,"116.479363,39.893772",购物服务;专卖店;珠宝首饰工艺品,110,name_or_alias_match;floor_match,manual_review_or_indoor_only
